date,SPY,QQQ
2015-08-21,164.93798828125,94.49829864501953
2015-08-24,157.99298095703125,90.8623275756836
2015-08-25,156.13375854492188,90.5208740234375
2015-08-26,162.12826538085938,95.07966613769531
2015-08-27,166.13851928710938,97.48829650878906
2015-08-28,166.1468963623047,97.46983337402344
2015-08-31,164.80458068847656,96.2608871459961
2015-09-01,159.88551330566406,93.25243377685547
2015-09-02,162.9203643798828,95.88253784179688
2015-09-03,163.03704833984375,95.41187286376953
2015-09-04,160.5692596435547,94.2768325805664
2015-09-08,164.6044158935547,96.9345932006836
2015-09-09,162.4033966064453,95.8456039428711
2015-09-10,163.28720092773438,96.88845825195312
2015-09-11,164.02919006347656,97.42366027832031
2015-09-14,163.42056274414062,97.12834930419922
2015-09-15,165.46324157714844,98.27265930175781
2015-09-16,166.89723205566406,98.82636260986328
2015-09-17,166.52206420898438,98.86328887939453
2015-09-18,163.80087280273438,97.45716094970703
2015-09-21,164.64730834960938,97.7624740600586
2015-09-22,162.51022338867188,96.30081939697266
2015-09-23,162.2504425048828,96.37482452392578
2015-09-24,161.66375732421875,96.02330017089844
2015-09-25,161.62193298339844,95.20924377441406
2015-09-28,157.56558227539062,92.4987564086914
2015-09-29,157.6577606201172,92.0177001953125
2015-09-30,160.59945678710938,94.13614654541016
2015-10-01,161.01849365234375,94.56168365478516
2015-10-02,163.42373657226562,96.21755981445312
2015-10-05,166.33184814453125,97.59595489501953
2015-10-06,165.76193237304688,97.13338470458984
2015-10-07,167.11965942382812,97.71619415283203
2015-10-08,168.6281280517578,98.10475158691406
2015-10-09,168.7287139892578,98.54876708984375
2015-10-12,168.88790893554688,98.78927612304688
2015-10-13,167.82363891601562,98.15099334716797
2015-10-14,167.01902770996094,97.99372863769531
2015-10-15,169.58360290527344,99.6033706665039
2015-10-16,170.3545684814453,100.01966857910156
2015-10-19,170.4384002685547,100.59320068359375
2015-10-20,170.2205047607422,100.07515716552734
2015-10-21,169.16456604003906,99.4646224975586
2015-10-22,172.02232360839844,101.4905014038086
2015-10-23,173.9080352783203,104.33053588867188
2015-10-26,173.48056030273438,104.39530181884766
2015-10-27,173.14537048339844,104.6080551147461
2015-10-28,175.11480712890625,105.47764587402344
2015-10-29,175.01422119140625,105.31108856201172
2015-10-30,174.25999450683594,104.83929443359375
2015-11-02,176.32159423828125,106.02342224121094
2015-11-03,176.83291625976562,106.39347076416016
2015-11-04,176.2965087890625,106.40270233154297
2015-11-05,176.12046813964844,106.11592102050781
2015-11-06,176.02830505371094,106.18994140625
2015-11-09,174.38571166992188,105.06130981445312
2015-11-10,174.78799438476562,104.79304504394531
2015-11-11,174.1007843017578,104.66357421875
2015-11-12,171.67030334472656,103.64596557617188
2015-11-13,169.7427978515625,101.61077117919922
2015-11-16,172.32411193847656,103.07243347167969
2015-11-17,172.19833374023438,103.13716888427734
2015-11-18,174.93040466308594,105.1168441772461
2015-11-19,174.77955627441406,105.19082641601562
2015-11-20,175.41651916503906,105.90314483642578
2015-11-23,175.2153778076172,105.59789276123047
2015-11-24,175.45005798339844,105.50540161132812
2015-11-25,175.4248809814453,105.59789276123047
2015-11-27,175.6260528564453,105.74589538574219
2015-11-30,174.8968963623047,105.47764587402344
2015-12-01,176.564697265625,106.53223419189453
2015-12-02,174.76283264160156,105.87539672851562
2015-12-03,172.31564331054688,104.08075714111328
2015-12-04,175.67630004882812,106.51371002197266
2015-12-07,174.6120147705078,106.03266143798828
2015-12-08,173.43869018554688,106.04191589355469
2015-12-09,172.08937072753906,104.43230438232422
2015-12-10,172.53355407714844,104.90408325195312
2015-12-11,169.18966674804688,102.48960876464844
2015-12-14,170.04452514648438,103.26667022705078
2015-12-15,171.82958984375,103.89570617675781
2015-12-16,174.3437957763672,105.44062042236328
2015-12-17,171.68710327148438,103.90497589111328
2015-12-18,168.6284942626953,101.91185760498047
2015-12-21,170.0195770263672,103.04390716552734
2015-12-22,171.5623016357422,103.72127532958984
2015-12-23,173.6868438720703,104.4914321899414
2015-12-24,173.40020751953125,104.4728775024414
2015-12-28,173.0039520263672,104.41718292236328
2015-12-29,174.8502197265625,106.05958557128906
2015-12-30,173.61099243164062,105.10382080078125
2015-12-31,171.87428283691406,103.79550170898438
2016-01-04,169.4715576171875,101.60562896728516
2016-01-05,169.75819396972656,101.42932891845703
2016-01-06,167.61688232421875,100.45500183105469
2016-01-07,163.59544372558594,97.30943298339844
2016-01-08,161.79971313476562,96.51142883300781
2016-01-11,161.95993041992188,96.80835723876953
2016-01-12,163.2666778564453,97.93111419677734
2016-01-13,159.19468688964844,94.55355072021484
2016-01-14,161.80816650390625,96.5671157836914
2016-01-15,158.3347625732422,93.56995391845703
2016-01-19,158.54547119140625,93.77409362792969
2016-01-20,156.51377868652344,93.48646545410156
2016-01-21,157.3905029296875,93.57928466796875
2016-01-22,160.61941528320312,96.28871154785156
2016-01-25,158.19142150878906,94.85973358154297
2016-01-26,160.349609375,95.71343994140625
2016-01-27,158.6045379638672,93.32870483398438
2016-01-28,159.43072509765625,94.64636993408203
2016-01-29,163.31724548339844,96.62279510498047
2016-02-01,163.2581787109375,96.88260650634766
2016-02-02,160.31593322753906,94.78551483154297
2016-02-03,161.27703857421875,94.33087158203125
2016-02-04,161.5299530029297,94.32160949707031
2016-02-05,158.4527587890625,91.04607391357422
2016-02-08,156.31985473632812,89.65422821044922
2016-02-09,156.32827758789062,89.3758544921875
2016-02-10,156.193359375,89.71914672851562
2016-02-11,154.16159057617188,89.58924865722656
