low_cut,high_cut,rank,average_spread,average_standardized_spread,min_tail_n,positive_comparisons
40,60,1,0.022630159353068093,0.08067877190102071,6,2
35,65,2,0.029412174892664004,0.04410376033196824,4,2
30,70,3,0.021469986587148476,-0.028806949441397972,4,2
25,75,4,-0.02736186859082882,-0.6111357554344978,1,1
20,80,5,-0.049070681916636966,-0.5694613095901616,0,0
