ticker,horizon_months,group,n,return_mean,return_median,return_p25,return_p75,positive_rate,return_std,max_drawdown_mean,max_drawdown_median,max_drawdown_p25,max_drawdown_p75
QQQ,6,低估,4,0.1173880333899604,0.06045609454189432,-0.04135842268107409,0.21920255061292881,0.5,0.21204547631873885,-0.15490979284657638,-0.16441312965447208,-0.21648321334504628,-0.10283970915600218
QQQ,6,合理,10,0.09210480768836568,0.14780188269608618,-0.05003203528256281,0.19569366081643763,0.6,0.154247669569133,-0.13932842344367685,-0.11234304596389788,-0.20184946646827445,-0.07832857475756494
QQQ,6,高估,35,0.07591482655618395,0.10771556021466644,0.04052052354874858,0.16485781012293432,0.7714285714285715,0.14560202408333325,-0.12908728350831333,-0.10779953301183864,-0.135577350848047,-0.07880216758665737
QQQ,6,极度高估,18,0.1091582529485591,0.10191870015776983,0.07507350123814616,0.16019813158154866,0.8888888888888888,0.07633297152276225,-0.1372243968521457,-0.11723576957706383,-0.16137621687606193,-0.10851517585451986
QQQ,12,低估,4,0.3317719895298871,0.3242081407440076,0.2755389140863687,0.380441216187526,1.0,0.15819527371644657,-0.16327725141645727,-0.16441312965447208,-0.21648321334504628,-0.11120716772588307
QQQ,12,合理,10,0.25098016646605636,0.2777594693117367,0.23058956446349127,0.3567743118052864,0.9,0.1853044595327245,-0.1600228154532199,-0.135577350848047,-0.20241349013142454,-0.11234304596389788
QQQ,12,高估,31,0.1034640726195776,0.16171550933507461,-0.11838293969777258,0.29969672965553684,0.6451612903225806,0.2394876374138866,-0.20291666728308275,-0.135577350848047,-0.2938151624085834,-0.11964372276774393
QQQ,12,极度高估,16,0.24162154794151014,0.2429525019831419,0.20861382094918102,0.2811608506832169,1.0,0.0834478706918301,-0.1749403980594771,-0.1767644556182919,-0.22768299644878198,-0.12274890395377963
SPY,6,极度低估,3,0.042664742811455304,0.04011111794089928,0.01914757949635043,0.06490509369128217,0.6666666666666666,0.04581092506470505,-0.10585954069071209,-0.0753876606990509,-0.12109548068654269,-0.0753876606990509
SPY,6,低估,2,0.007805108809266881,0.007805108809266881,0.005773963980655161,0.0098362536378786,1.0,0.005744945127533339,-0.16680330067403448,-0.16680330067403448,-0.16680330067403448,-0.16680330067403448
SPY,6,合理,10,0.046630720475520616,0.07890128354191017,-0.04040286010070085,0.12828353172323592,0.7,0.12555819392953538,-0.11060958441437711,-0.0753876606990509,-0.15731001688133264,-0.06866423220047538
SPY,6,高估,19,0.05682189398274801,0.08982789181340411,-0.00981270317603361,0.12180877551233871,0.7368421052631579,0.11160644003220549,-0.10416765692925851,-0.09974313255666489,-0.13176401479797606,-0.05114137597421442
SPY,6,极度高估,33,0.10675506333867199,0.10718267826349615,0.07312084519968765,0.15523532245413718,0.8787878787878788,0.06924793390240631,-0.08413719966943832,-0.08405624467197748,-0.08884968175523733,-0.050713459624278534
SPY,12,极度低估,3,0.12511482135238525,0.13266712641699852,0.11868897645644805,0.13531681878062907,1.0,0.017867935644599885,-0.12209652192912142,-0.09974313255666489,-0.1332732166153497,-0.09974313255666489
SPY,12,低估,2,0.10958513773943424,0.10958513773943424,0.073518032102102,0.14565224337676647,1.0,0.1020131798957167,-0.16680330067403448,-0.16680330067403448,-0.16680330067403448,-0.16680330067403448
SPY,12,合理,10,0.16216473617029503,0.18862390523867867,0.05325080239714702,0.2817626738012601,0.8,0.15548890725744316,-0.12878461036739447,-0.09974313255666489,-0.15731001688133264,-0.09974313255666489
SPY,12,高估,19,0.07770869900816438,0.1422166079104663,-0.09956217839394793,0.22402371434855606,0.5263157894736842,0.1891815573926281,-0.16327857003804588,-0.14696953262083268,-0.23009957857312058,-0.09429640715595111
SPY,12,极度高估,27,0.20585236166460513,0.20893824974047148,0.16025995962282602,0.2509526817428671,1.0,0.08151039033259813,-0.12442170636904056,-0.09974313255666489,-0.1875524271823027,-0.08531512374912892
