ticker,horizon_months,group,n,return_mean,return_median,return_p25,return_p75,positive_rate,return_std,max_drawdown_mean,max_drawdown_median,max_drawdown_p25,max_drawdown_p75
QQQ,6,低估,4,0.1173880333899604,0.06045609454189432,-0.04135842268107409,0.21920255061292881,0.5,0.21204547631873885,-0.15490979284657638,-0.16441312965447208,-0.21648321334504628,-0.10283970915600218
QQQ,6,合理,10,0.09210480768836568,0.14780188269608618,-0.05003203528256281,0.19569366081643763,0.6,0.154247669569133,-0.13932842344367685,-0.11234304596389788,-0.20184946646827445,-0.07832857475756494
QQQ,6,高估,53,0.08720504684038682,0.1053779502584462,0.059292742713153546,0.16404714945418974,0.8113207547169812,0.12656626112230848,-0.13185083143640738,-0.11217806908394556,-0.135577350848047,-0.07880216758665737
QQQ,12,低估,4,0.3317719895298871,0.3242081407440076,0.2755389140863687,0.380441216187526,1.0,0.15819527371644657,-0.16327725141645727,-0.16441312965447208,-0.21648321334504628,-0.11120716772588307
QQQ,12,合理,10,0.25098016646605636,0.2777594693117367,0.23058956446349127,0.3567743118052864,0.9,0.1853044595327245,-0.1600228154532199,-0.135577350848047,-0.20241349013142454,-0.11234304596389788
QQQ,12,高估,47,0.15049640464406527,0.2296026454919764,0.06860141419081223,0.29069597246453527,0.7659574468085106,0.2098921553751267,-0.1933928309516425,-0.16997583888540024,-0.22768299644878198,-0.11964372276774393
SPY,6,低估,5,0.028720889210579935,0.01186739846649032,0.0037428191520434417,0.04011111794089928,0.8,0.0377111356379195,-0.13023704468404104,-0.16680330067403448,-0.16680330067403448,-0.0753876606990509
SPY,6,合理,10,0.046630720475520616,0.07890128354191017,-0.04040286010070085,0.12828353172323592,0.7,0.12555819392953538,-0.11060958441437711,-0.0753876606990509,-0.15731001688133264,-0.06866423220047538
SPY,6,高估,52,0.08851025145862283,0.10232552860934263,0.06327874688213903,0.14759691439376466,0.8269230769230769,0.08941207749500486,-0.09145602059129569,-0.08405624467197748,-0.09989592742722153,-0.05103439688673045
SPY,12,低估,5,0.11890294790720483,0.13266712641699852,0.10471082649589758,0.13796651114425962,1.0,0.053232087148112596,-0.13997923342708665,-0.16680330067403448,-0.16680330067403448,-0.09974313255666489
SPY,12,合理,10,0.16216473617029503,0.18862390523867867,0.05325080239714702,0.2817626738012601,0.8,0.15548890725744316,-0.12878461036739447,-0.09974313255666489,-0.15731001688133264,-0.09974313255666489
SPY,12,高估,46,0.15292345752390135,0.18295345561160947,0.1257352374041535,0.24600758237962184,0.8043478260869565,0.1490774627180252,-0.14047128049319488,-0.1186253616956589,-0.1875524271823027,-0.08884968175523733
